Timestamp,Name,Email ID,Phone Number,College Name,Team Name,Team Lead Name,Team Lead Registration Number,Team Member 2 Name,Team Member 2 Registration Number,Team Member 3 Name,Team Member 3 Registration Number
27/07/2026 11:17:20,Aarav Sharma,aarav.sharma26@gmail.com,9876543210,VIT Chennai,Logic Lords,Aarav Sharma,22BCE1001,Neha Patel,22BCE1002,Rohan Das,22BCE1003
27/07/2026 11:21:45,Ishita Roy,ishita.roy26@gmail.com,9123456780,SRM Institute of Science and Technology,Byte Breakers,Ishita Roy,22CSE2011,Aditya Sen,22CSE2012,Karan Gupta,22CSE2013
27/07/2026 11:28:09,Mohit Jain,mohit.jain26@gmail.com,9012345678,MIT Manipal,Code Titans,Mohit Jain,22CSE3051,Priya Nair,22CSE3052,Arjun Rao,22CSE3053
27/07/2026 11:35:18,Sneha Bose,sneha.bose26@gmail.com,9988776655,IIIT Hyderabad,Debug Ninjas,Sneha Bose,22IT4101,Rahul Mehta,22IT4102,Ananya Paul,22IT4103
27/07/2026 11:42:55,Kunal Verma,kunal.verma26@gmail.com,9090909090,NIT Tiruchirappalli,Stack Smashers,Kunal Verma,22ECE5001,Divya Iyer,22ECE5002,Harsh Singh,22ECE5003
27/07/2026 11:48:36,Ritika Das,ritika.das26@gmail.com,9345678123,VIT Vellore,Null Pointers,Ritika Das,22BCE6001,Soumya Ghosh,22BCE6002,Yash Agarwal,22BCE6003
27/07/2026 11:55:41,Harshit Kumar,harshit.kumar26@gmail.com,9871234567,Amrita Vishwa Vidyapeetham,Kernel Crashers,Harshit Kumar,22CSE7101,Akash Verma,22CSE7102,Nikhil Jain,22CSE7103
27/07/2026 12:03:14,Pooja Singh,pooja.singh26@gmail.com,9955443322,PES University,Quantum Coders,Pooja Singh,22ISE8011,Rohit Sharma,22ISE8012,Shruti Menon,22ISE8013
27/07/2026 12:10:49,Abhishek Paul,abhishek.paul26@gmail.com,9876501234,BITS Pilani,Binary Bandits,Abhishek Paul,22A7PS9011,Ayush Tiwari,22A7PS9012,Mehul Shah,22A7PS9013
27/07/2026 12:18:32,Nandini Rao,nandini.rao26@gmail.com,9765432109,Delhi Technological University,Recursive Rebels,Nandini Rao,22CO1001,Varun Kapoor,22CO1002,Tanmay Joshi,22CO1003
